"","day_start","day_end","night_start","night_end"
"1",2020-05-01 08:50:00,2020-05-01 16:30:00,2020-05-01 19:15:00,2020-05-01 05:35:00
"2",2020-05-02 08:30:00,2020-05-02 16:22:00,2020-05-02 18:50:00,2020-05-02 05:40:00
"3",2020-05-03 08:15:00,2020-05-03 16:30:00,2020-05-03 19:30:00,2020-05-03 05:30:00
"4",2020-05-04 07:45:00,2020-05-04 16:55:00,2020-05-04 19:30:00,2020-05-04 05:05:00
"5",2020-05-05 09:45:00,2020-05-05 16:27:00,2020-05-05 18:40:00,2020-05-05 05:05:00
"6",2020-05-06 08:25:00,2020-05-06 16:55:00,2020-05-06 19:00:00,2020-05-06 05:10:00
"7",2020-05-07 08:55:00,2020-05-07 16:50:00,2020-05-07 18:00:00,2020-05-07 05:05:00
"8",2020-05-08 08:25:00,2020-05-08 17:05:00,2020-05-08 19:15:00,2020-05-08 05:10:00
"9",2020-05-09 09:10:00,2020-05-09 16:05:00,2020-05-09 19:20:00,2020-05-09 05:15:00
"10",2020-05-10 09:05:00,2020-05-10 16:00:00,2020-05-10 18:50:00,2020-05-10 05:20:00
"11",2020-05-11 08:15:00,2020-05-11 16:05:00,2020-05-11 18:05:00,2020-05-11 05:10:00
"12",2020-05-12 07:45:00,2020-05-12 16:15:00,2020-05-12 18:55:00,2020-05-12 05:25:00
"13",2020-05-13 09:45:00,2020-05-13 16:10:00,2020-05-13 19:45:00,2020-05-13 05:13:00
"14",2020-05-14 09:52:00,2020-05-14 16:00:00,2020-05-14 19:45:00,2020-05-14 05:00:00
"15",2020-05-15 09:30:00,2020-05-15 16:00:00,2020-05-15 18:55:00,2020-05-15 05:00:00
"16",2020-05-16 08:20:00,2020-05-16 16:03:00,2020-05-16 19:45:00,2020-05-16 05:05:00
"17",2020-05-17 08:15:00,2020-05-17 16:10:00,2020-05-17 19:25:00,2020-05-17 05:00:00
"18",2020-05-18 07:45:00,2020-05-18 16:05:00,2020-05-18 19:25:00,2020-05-18 05:10:00
